herb_en,herb_cn,pinyin,property,compound,"target (Protein,Enzyme,receptor)",pchembl,pubchem_cid,smiles,MW,LogP,TPSA,HBA,HBD,DL TCMSP
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,GABA-A receptor; anion channel,4.11,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,150,11,6,0.11
Scutellaria baicalensis,黄芩,Huang Qin,Cold,Wogonin,GABA-A receptor; anion channel,5.69,5281703,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,284.267,2.8798,79.9,5,2,0.3
Scutellaria baicalensis,黄芩,Huang Qin,Cold,Wogonin,RAW264.7,5.97,5281703,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,284.267,2.8798,79.9,5,2,0.3
Scutellaria baicalensis,黄芩,Huang Qin,Cold,scutellarin,5-hydroxytryptamine receptor 7,4.2,5281697,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,286.24,0,70,12,6,0.09
Scutellaria baicalensis,黄芩,Huang Qin,Cold,scutellarin,Neuraminidase,4.3,5281697,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,286.24,0,70,12,6,0.09
Scutellaria baicalensis,黄芩,Huang Qin,Cold,scutellarin,Neuraminidase,4.33,5281697,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)O,286.24,0,70,12,6,0.09
Scutellaria baicalensis,黄芩,Huang Qin,Cold,scutellarin,Neuraminidase,4.22,5281697,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)O,286.24,0,70,12,6,0.09
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,SGC-7901,5.24,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Scutellaria baicalensis,黄芩,Huang Qin,Cold,chrysin,HT-29,5.51,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24,2.7,,4,2,0.23
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,liquiritigenin,Aromatase,5.68,114829,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,256.25,2,74,4,2,0.3
Glycyrrhiza uralensis,甘草,Gan Cao,Neutral,liquiritigenin,Xanthine dehydrogenase/oxidase,4.95,114829,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,256.25,2,74,4,2,0.3
Panax ginseng,人参,Ren Shen,Warm,ginsenoside Rb1,AMPK alpha2/beta1/gamma1,7.78,9898279,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O)C,1109.3,0,300,19,9,0.04
Coptis chinensis,黄连,Huang Lian,Cold,berberine,Menin/Histone-lysine N-methyltransferase MLL,4.4,2353,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,336.367,3.0963,40.8,4,0,0.78
Coptis chinensis,黄连,Huang Lian,Cold,berberine,Survival motor neuron protein,5.15,2353,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,336.367,3.0963,40.8,4,0,0.78
Coptis chinensis,黄连,Huang Lian,Cold,berberine,Thyrotropin receptor,4.9,2353,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,336.367,3.0963,40.8,4,0,0.78
Coptis chinensis,黄连,Huang Lian,Cold,berberine,Microtubule-associated protein tau,4.9,2353,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,336.367,3.0963,40.8,4,0,0.78
Coptis chinensis,黄连,Huang Lian,Cold,berberine,Hypoxia-inducible factor 1-alpha,5.6,2353,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,336.367,3.0963,40.8,4,0,0.78
Coptis chinensis,黄连,Huang Lian,Cold,palmatine,Hypoxia-inducible factor 1-alpha,4.9,19009,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,352.41,2,47,4,0,0.65
Coptis chinensis,黄连,Huang Lian,Cold,palmatine,Hypoxia-inducible factor 1-alpha,4.9,19009,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,352.41,2,47,4,0,0.65
Coptis chinensis,黄连,Huang Lian,Cold,palmatine,Fructose-bisphosphate aldolase,4.9,19009,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,352.41,2,47,4,0,0.65
Coptis chinensis,黄连,Huang Lian,Cold,palmatine,Cytochrome P450 2D6,4.9,19009,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,352.41,2,47,4,0,0.65
Lonicera japonica,金银花,Jin Yin Hua,Cold,quercetin,Aldo-keto reductase family 1 member B1,4.48,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.238,1.988,131.36,7,5,0.28
Lonicera japonica,金银花,Jin Yin Hua,Cold,quercetin,Aldo-keto reductase family 1 member B1,4.99,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.238,1.988,131.36,7,5,0.28
Lonicera japonica,金银花,Jin Yin Hua,Cold,quercetin,Aldo-keto reductase family 1 member B1,5.08,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.238,1.988,131.36,7,5,0.28
Lonicera japonica,金银花,Jin Yin Hua,Cold,quercetin,Aldo-keto reductase family 1 member B1,5.11,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.238,1.988,131.36,7,5,0.28
