PDB,Protein,Full Name,Function,Detailed Function
1M17,EGFR,Epidermal Growth Factor Receptor,Cancer signaling,"A receptor tyrosine kinase located on the cell membrane that binds growth factors and activates signaling pathways such as MAPK and PI3K/AKT. It regulates cell proliferation, survival, differentiation, and migration. EGFR overexpression or mutation is commonly associated with cancers, especially lung cancer."
1DGF,FGFR,Fibroblast Growth Factor Receptor,Growth factor receptor signaling,"A receptor that binds fibroblast growth factors (FGFs) and controls cell growth, differentiation, tissue repair, angiogenesis, and embryonic development. Dysregulation is linked to cancer and developmental disorders."
1NFL,HIV Protease,Human Immunodeficiency Virus Protease,Viral maturation,A viral enzyme essential for HIV maturation. It cleaves viral polyproteins into functional proteins required for assembling infectious viral particles. It is a major target of antiretroviral protease inhibitors.
2AZ5,CDK2,Cyclin-Dependent Kinase 2,Cell cycle regulation,"A serine/threonine kinase that regulates cell cycle progression, particularly the transition from G1 phase to S phase. It works with cyclins to control DNA replication and cell division. Abnormal activation contributes to uncontrolled cancer cell growth."
2C9V,VEGFR2,Vascular Endothelial Growth Factor Receptor 2,Angiogenesis,"A receptor tyrosine kinase that mediates angiogenesis by stimulating endothelial cell proliferation, migration, and survival. It plays a central role in tumor blood vessel formation."
2OJJ,MAPK,Mitogen-Activated Protein Kinase,Cell signaling,"A signaling kinase involved in transmitting extracellular signals from the cell membrane to the nucleus. It regulates cell proliferation, differentiation, apoptosis, stress response, and inflammation. Frequently implicated in cancer pathways."
2ONC,Onconase,Ribonuclease from Rana pipiens,RNA degradation / anticancer,"A ribonuclease enzyme with anticancer and antiviral properties. It degrades intracellular RNA, inhibits protein synthesis, and can induce apoptosis in tumor cells."
2V5Z,HSP90,Heat Shock Protein 90,Protein folding and stress response,"A molecular chaperone that assists in protein folding, stabilization, and maturation of many client proteins, including oncogenic proteins. It helps cells survive stress conditions and is an important cancer drug target."
2ZHV,Integrase,Viral Integrase,Viral DNA integration,"A viral enzyme that inserts viral DNA into the host genome, a critical step in retroviral replication such as HIV infection. Integrase inhibitors block this integration process."
3C8S,BACE1,Beta-site APP Cleaving Enzyme 1,Alzheimer-related amyloid processing,"An enzyme involved in the cleavage of amyloid precursor protein (APP), leading to the production of beta-amyloid peptides that accumulate in Alzheimer’s disease plaques."
3E7G,DHFR,Dihydrofolate Reductase,Folate metabolism,"An enzyme in folate metabolism that converts dihydrofolate into tetrahydrofolate, which is necessary for DNA synthesis and nucleotide production. It is targeted by anticancer and antimicrobial drugs such as methotrexate."
3WZE,PI3K,Phosphoinositide 3-Kinase,Cancer signaling pathway,"A kinase involved in the PI3K/AKT/mTOR signaling pathway, regulating cell growth, metabolism, proliferation, and survival. Frequently mutated or overactivated in cancers."
4BBE,Tubulin,Tubulin Protein,Microtubule formation,"The structural protein that forms microtubules, essential for mitosis, intracellular transport, and maintenance of cell shape. Many anticancer drugs target tubulin dynamics to block cell division."
4CFE,PARP1,Poly(ADP-ribose) Polymerase 1,DNA repair,A DNA repair enzyme that detects and repairs single-strand DNA breaks. PARP inhibition causes accumulation of DNA damage and is particularly effective in BRCA-mutated cancers.
4EY7,AChE,Acetylcholinesterase,Neuro enzyme in nervous system,"An enzyme that hydrolyzes acetylcholine at synapses, terminating nerve signal transmission. It is essential for nervous system function and is a target in Alzheimer’s disease therapy."
4FA6,JAK2,Janus Kinase 2,Cytokine signaling,"A tyrosine kinase involved in the JAK/STAT signaling pathway. It transmits cytokine and growth factor signals that regulate hematopoiesis, immune function, and cell growth. Mutations are linked to leukemia and myeloproliferative disorders."
5IKR,COX-2,Cyclooxygenase-2,Inflammation,"An inducible enzyme responsible for prostaglandin synthesis during inflammation, pain, and fever. Overexpression is associated with inflammatory diseases and several cancers."
6LU7,Mpro,Main Protease (SARS-CoV-2),Viral protease (viral replication),A coronavirus protease responsible for cleaving viral polyproteins into functional proteins required for viral replication. It is a major antiviral drug target for COVID-19 treatment.
6MOJ,ACE2,Angiotensin-Converting Enzyme 2,Viral receptor,A membrane-bound enzyme involved in blood pressure regulation through the renin-angiotensin system. It also serves as the cellular entry receptor for SARS-CoV-2.
6NPY,SARS-CoV-2 NSP12,RNA-dependent RNA Polymerase (RdRp),Viral RNA polymerase,The main viral polymerase responsible for replicating the SARS-CoV-2 RNA genome. It is essential for viral replication and is targeted by antiviral drugs such as remdesivir.
